51	'number of materials in this database'																																													
id	case'	'name'	'data source'	bulk density'	'thermal capacity'	'thermal conductivity'	'thermal conductivity'	'capillary moisture content' 	absorbivity for short wave radiation [-]'	Equation type (vdc(1))	vdc(2)	vdc(3)	vdc(4)	vdc(5)	vdc(6)	vdc(7)	(nret)	reta1	retn1	retm1	retw1	Ci	Wi	reta2	retn2	retm2	retw2	reta3	retn3	retm3	retw3	keq	ka(j)	kb(j)	kreta(j1)	kretn(j1)	kretm(j1)	kretw(j1)	kreta(j2)	kretn(j2)	kretm(j2)	kretw(j2)	kreta(j3)	kretn(j3)	kretm(j3)	kretw(j3)
-	-	-	-	'[kg/m3]'	'[J/kgK]'	'[W/mK] - dry term'	'[W/mK] moisture term - * w'	'[kg/m3]'		vapour diffusion coefficient							Moisture storage parameters C and w (coefficients for the equation)															equation type for logK	Coefficients for the calculation of log10 of the liquid permeability/conductivity													
1	1	'concrete'	'HAMSTAD benchmark 1'	2.20E+03	8.29E+02	1.50E+00	1.58E-02	1.46E+02	0.5	1	2.61E-05	2.00E+02	5.03E-01	4.97E-01	0	0	1	-8.00E-08	1.60E+00	3.75E-01	1.00E+00	1.46E+02	1.46E+02	0	0	0	0	0	0	0	0	2	-7.30E+01	-3.93E+01	0	0	0	0	0	0	0	0	0	0	0	0
2	2	'polysterene'	'HAMSTAD benchmark 1'	8.80E+01	8.40E+02	3.30E-02	5.90E-04	9.00E+02	0.5	1	2.61E-05	9.60E+00	5.03E-01	4.97E-01	0	0	1	-2.00E-04	2.00E+00	5.00E-01	1.00E+00	9.00E+02	9.00E+02	0	0	0	0	0	0	0	0	1	-50	0	0	0	0	0	0	0	0	0	0	0	0	0
3	3	'ceramic brick'	'HAMSTAD benchmark 4'	2.01E+03	8.40E+02	5.00E-01	4.50E-03	1.57E+02	0.5	1	2.61E-05	3.00E+01	5.03E-01	4.97E-01	0	0	2	-1.25E-05	1.65E+00	3.94E-01	3.00E-01	1.57E+02	1.57E+02	-1.80E-05	6.00E+00	8.33E-01	7.00E-01	0	0	0	0	3	1.91E-09	-1.63E+00	2.96E-05	6.62E+00	8.49E-01	8.91E-01	4.17E-07	1.17E+00	1.45E-01	5.00E-04	1.09E-06	2.04E+00	5.10E-01	1.09E-01
4	4	'plaster'	'HAMSTAD benchmark 4'	7.90E+02	8.70E+02	2.00E-01	4.50E-03	2.09E+02	0.5	1	2.61E-05	3.00E+00	5.03E-01	4.97E-01	0	0	1	-2.00E-06	1.27E+00	2.13E-01	2.09E+02	1	1	0	0	0	0	0	0	0	0	2	-1.20E+02	-3.30E+01	0	0	0	0	0	0	0	0	0	0	0	0
5	5	'outside mineral plaster base layer'	'EIFS Vlietbuilding - KULeuven' 	1.50E+03	1.05E+03	1.20E+00	0	2.31E+02	0.5	1	2.61E-05	2.11E+01	5.03E-01	4.97E-01	0	0	3	-7.21E-06	1.40E+00	2.86E-01	6.00E-01	2.31E+02	2.31E+02	-1.02E-06	1.50E+00	3.33E-01	3.33E-01	-2.04E-09	6.00E+00	8.33E-01	6.70E-02	3	3.36E-12	-5.00E-01	1.16E-05	4.55E+00	7.80E-01	1.31E-01	3.72E-06	3.73E+00	7.32E-01	1.52E-01	5.45E-08	2.01E+00	5.03E-01	7.17E-01
6	6	'outside mineral plaster top layer'	'EIFS Vlietbuilding -KULeuven'	1.62E+03	1.05E+03	1.20E+00	0	1.26E+02	0.5	1	2.61E-05	2.00E+01	5.03E-01	4.97E-01	0	0	3	-4.08E-06	3.00E+00	6.67E-01	5.99E-01	1.26E+02	1.26E+02	-9.58E-07	1.85E+00	4.60E-01	3.55E-01	-2.04E-08	2.44E+00	5.91E-01	4.60E-02	3	7.11E-13	-1.36E+00	1.54E-06	1.21E+01	9.18E-01	4.78E-01	6.80E-07	2.92E+00	6.57E-01	3.56E-01	6.89E-08	3.22E+00	6.89E-01	1.66E-01
7	7	'calcium silicate'	'Anne-Séverine'	2.70E+02	1.00E+03	6.00E-02	5.60E-04	8.94E+02	0.5	1	2.61E-05	5.60E+00	8.00E-01	2.00E-01	0	0	3	-2.46E-06	1.50E+00	3.33E-01	5.00E-02	8.94E+02	8.94E+02	-2.00E-06	2.00E+00	5.00E-01	1.00E-01	-2.47E-06	4.80E+00	7.92E-01	8.50E-01	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	8	'cement mortar'	'TUDresden'	1.86E+03	8.40E+02	8.70E-01	0	1.76E+02	0.6	1	2.61E-05	2.50E+01	8.00E-01	2.00E-01	0	0	1	-6.80E-07	1.35E+00	2.59E-01	6.50E-01	1.76E+02	1.76E+02	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	9	'cement mortar 2'	'KULeuven - lambda missing'	2.20E+03	8.40E+02	8.70E-01	0	2.38E+02	0.5	1	2.61E-05	4.28E+01	5.03E-01	4.97E-01	0	0	3	-8.00E-08	2.20E+00	5.45E-01	1.00E-01	2.38E+02	2.38E+02	-1.00E-06	1.60E+00	3.75E-01	6.00E-01	-3.60E-06	2.40E+00	5.83E-01	3.00E-01	3	3.40E-11	-7.21E-01	3.18E-06	5.14E+00	8.05E-01	1.32E-01	1.32E-06	2.63E+00	6.20E-01	5.03E-01	1.15E-07	2.15E+00	5.34E-01	3.65E-01
