       time step start          time step length       avg time step length      required iterations
    0.000000000000000E+00    0.100000000000000E-03    0.980000000200000E+04              2
    0.100000000000000E-03    0.200000000000000E-03    0.960000000600000E+04              1
    0.300000000000000E-03    0.400000000000000E-03    0.940000001400000E+04              1
    0.700000000000000E-03    0.800000000000000E-03    0.920000003000000E+04              1
    0.150000000000000E-02    0.160000000000000E-02    0.900000006200000E+04              1
    0.310000000000000E-02    0.320000000000000E-02    0.880000012600000E+04              1
    0.630000000000000E-02    0.640000000000000E-02    0.860000025400000E+04              1
    0.127000000000000E-01    0.128000000000000E-01    0.840000051000000E+04              1
    0.255000000000000E-01    0.256000000000000E-01    0.820000102200000E+04              1
    0.511000000000000E-01    0.512000000000000E-01    0.800000204600000E+04              1
    0.102300000000000E+00    0.102400000000000E+00    0.780000409400000E+04              1
    0.204700000000000E+00    0.204800000000000E+00    0.760000819000000E+04              1
    0.409500000000000E+00    0.409600000000000E+00    0.740001638200000E+04              1
    0.819100000000000E+00    0.819200000000000E+00    0.720003276600000E+04              1
    0.163830000000000E+01    0.163840000000000E+01    0.700006553400000E+04              1
    0.327670000000000E+01    0.327680000000000E+01    0.680013107000000E+04              1
    0.655350000000000E+01    0.655360000000000E+01    0.660026214200000E+04              1
    0.131071000000000E+02    0.131072000000000E+02    0.640052428600000E+04              1
    0.262143000000000E+02    0.262144000000000E+02    0.620104857400000E+04              1
    0.524287000000000E+02    0.524288000000000E+02    0.600209715000000E+04              1
    0.104857500000000E+03    0.104857600000000E+03    0.580419430200000E+04              1
    0.209715100000000E+03    0.209715200000000E+03    0.560838860600000E+04              2
    0.419430300000000E+03    0.419430400000000E+03    0.541677721400000E+04              2
    0.838860700000000E+03    0.838860800000000E+03    0.523355443000000E+04              3
    0.167772150000000E+04    0.167772160000000E+04    0.506710886200000E+04              3
    0.335544310000000E+04    0.335544320000000E+04    0.493421772600000E+04              3
    0.671088630000000E+04    0.328911370000000E+04    0.100000000000000E+05              3
    0.100000000000000E+05    0.657822740000000E+04    0.993156454800000E+04              3
    0.165782274000000E+05    0.342177260000000E+04    0.100000000000000E+05              3
    0.200000000000000E+05    0.100000000000000E+05    0.100000000000000E+05              3
    0.300000000000000E+05    0.100000000000000E+05    0.100000000000000E+05              3
    0.400000000000000E+05    0.100000000000000E+05    0.100000000000000E+05              3
    0.500000000000000E+05    0.100000000000000E+05    0.100000000000000E+05              3
    0.600000000000000E+05    0.100000000000000E+05    0.100000000000000E+05              3
    0.700000000000000E+05    0.100000000000000E+05    0.100000000000000E+05              3
    0.800000000000000E+05    0.100000000000000E+05    0.100000000000000E+05              3
    0.900000000000000E+05    0.100000000000000E+05    0.100000000000000E+05              3
    0.100000000000000E+06    0.100000000000000E+05    0.100000000000000E+05              3
    0.110000000000000E+06    0.100000000000000E+05    0.100000000000000E+05              3
    0.120000000000000E+06    0.100000000000000E+05    0.100000000000000E+05              3
    0.130000000000000E+06    0.100000000000000E+05    0.100000000000000E+05              3
    0.140000000000000E+06    0.100000000000000E+05    0.100000000000000E+05              3
    0.150000000000000E+06    0.100000000000000E+05    0.100000000000000E+05              3
    0.160000000000000E+06    0.100000000000000E+05    0.100000000000000E+05              3
    0.170000000000000E+06    0.100000000000000E+05    0.100000000000000E+05              3
    0.180000000000000E+06    0.100000000000000E+05    0.100000000000000E+05              3
    0.190000000000000E+06    0.100000000000000E+05    0.100000000000000E+05              3
    0.200000000000000E+06    0.100000000000000E+05    0.100000000000000E+05              3
