cumulated temperatures + heat flows
          time (s)             material     3       flow to boundary     1   flow to boundary     2  flow from boundary     1 flow from boundary     2
    0.000000000000000E+00    0.586300018175299E+02    0.548077967923408-302    0.000000000000000E+00    0.548077967923408-302    0.000000000000000E+00
    0.360000000000000E+04    0.582210205842064E+02   -0.691856974553593E+06    0.169781748927245E+02   -0.691079565586132E+06    0.169781869439827E+02
    0.720000000000000E+04    0.579776812877504E+02   -0.411587605218791E+06    0.203678518454144E+03   -0.410987399024350E+06    0.203678858018724E+03
    0.108000000000000E+05    0.577369815507684E+02   -0.407491130097601E+06    0.107498199515895E+04   -0.407067895120904E+06    0.107498374981179E+04
    0.144000000000000E+05    0.575263499670469E+02   -0.357979162187288E+06    0.225363327396421E+04   -0.357017288666518E+06    0.225363678757182E+04
    0.180000000000000E+05    0.573443375960085E+02   -0.310933341370195E+06    0.373277046697414E+04   -0.310400676329476E+06    0.373277218233732E+04
    0.216000000000000E+05    0.571792967982703E+02   -0.283914825972618E+06    0.541166936808301E+04   -0.282969753952337E+06    0.541167130938707E+04
    0.252000000000000E+05    0.570433943171528E+02   -0.235032707786056E+06    0.719741242329883E+04   -0.235941454408495E+06    0.719741199827552E+04
    0.288000000000000E+05    0.569170258645878E+02   -0.221982087888419E+06    0.901452145590214E+04   -0.221339764928820E+06    0.901452547411698E+04
    0.324000000000000E+05    0.568019405786123E+02   -0.203453100092933E+06    0.108092227241837E+05   -0.203230816975386E+06    0.108085513094786E+05
    0.360000000000000E+05    0.566996417093038E+02   -0.182507781816133E+06    0.125452144048459E+05   -0.183747386371819E+06    0.125444685714300E+05
    0.396000000000000E+05    0.566142838997664E+02   -0.155731615223159E+06    0.141969471478334E+05   -0.156333326264831E+06    0.141969460509187E+05
    0.432000000000000E+05    0.565530535485284E+02   -0.117105804082365E+06    0.157425259123142E+05   -0.117921649251509E+06    0.157425240939569E+05
    0.468000000000000E+05    0.565040844571422E+02   -0.989507745137241E+05    0.171633098348650E+05   -0.999090449890128E+05    0.171633082953889E+05
    0.504000000000000E+05    0.564659928382565E+02   -0.823877011849260E+05    0.184469622013277E+05   -0.829478418973470E+05    0.184469611188160E+05
    0.540000000000000E+05    0.564260147624394E+02   -0.863744227596659E+05    0.195919298046029E+05   -0.872958248400072E+05    0.195919363874857E+05
    0.576000000000000E+05    0.563823092546240E+02   -0.948922435069560E+05    0.206084168773434E+05   -0.937755903160114E+05    0.206078261820244E+05
    0.612000000000000E+05    0.563283047459643E+02   -0.112727733194921E+06    0.215177957726648E+05   -0.111950407819990E+06    0.215177967454935E+05
    0.648000000000000E+05    0.562635149242270E+02   -0.131248509203108E+06    0.223484841917086E+05   -0.130335554922149E+06    0.223484854537925E+05
    0.684000000000000E+05    0.561943432091886E+02   -0.139574110435591E+06    0.231298040572807E+05   -0.138917032573205E+06    0.231298050240387E+05
    0.720000000000000E+05    0.561199219235483E+02   -0.150102221987549E+06    0.238870426002288E+05   -0.149137018639843E+06    0.238870437188293E+05
    0.756000000000000E+05    0.560563232297690E+02   -0.132574141384174E+06    0.246349702819541E+05   -0.132298696216539E+06    0.246349765328288E+05
    0.792000000000000E+05    0.559932533173353E+02   -0.132789908997048E+06    0.253785567443152E+05   -0.131569379436964E+06    0.253785640446091E+05
    0.828000000000000E+05    0.559457608740576E+02   -0.105481590614985E+06    0.261132773341649E+05   -0.105996870456558E+06    0.261132827800993E+05
    0.864000000000000E+05    0.559091985161476E+02   -0.874356172314695E+05    0.268266887801888E+05   -0.878870521554761E+05    0.268266883647275E+05
    0.900000000000000E+05    0.558808491172445E+02   -0.741630205831537E+05    0.275041940605358E+05   -0.746284979516154E+05    0.275041936366311E+05
    0.936000000000000E+05    0.558531371300792E+02   -0.737871768928358E+05    0.281348850554720E+05   -0.750085394551996E+05    0.281345350923426E+05
    0.972000000000000E+05    0.558257749339689E+02   -0.742360704506118E+05    0.287142718312755E+05   -0.754190426137443E+05    0.287157441282997E+05
    0.100800000000000E+06    0.557974624232371E+02   -0.781374380441526E+05    0.292446028487579E+05   -0.768342248060197E+05    0.292443325132047E+05
    0.104400000000000E+06    0.557712541595819E+02   -0.738559165670564E+05    0.297307262635350E+05   -0.732895337711604E+05    0.297310342117606E+05
    0.108000000000000E+06    0.557469848910125E+02   -0.681446442929591E+05    0.301782085120000E+05   -0.706248011833869E+05    0.301780710091834E+05
    0.111600000000000E+06    0.557246129113337E+02   -0.635165844923766E+05    0.305913155497512E+05   -0.648946445402759E+05    0.305911396265351E+05
    0.115200000000000E+06    0.557005722642841E+02   -0.640116463839846E+05    0.309745503724164E+05   -0.652676631705994E+05    0.309744004868970E+05
    0.118800000000000E+06    0.556751912854963E+02   -0.728483322075951E+05    0.313333597397698E+05   -0.722851070807150E+05    0.313333629079148E+05
    0.122400000000000E+06    0.556555538608289E+02   -0.640649314225996E+05    0.316714263997370E+05   -0.648918988242300E+05    0.316713122611249E+05
    0.126000000000000E+06    0.556464388841745E+02   -0.476720146365235E+05    0.319868968916836E+05   -0.482268530599879E+05    0.319868965539750E+05
    0.129600000000000E+06    0.556458077999461E+02   -0.338108202334509E+05    0.322731638870747E+05   -0.342807617514935E+05    0.322731635483002E+05
    0.133200000000000E+06    0.556487000532165E+02   -0.275477030900104E+05    0.325224265356378E+05   -0.282111643340691E+05    0.325224273825214E+05
    0.136800000000000E+06    0.556501689002732E+02   -0.295631811119467E+05    0.327304835624421E+05   -0.297792957630367E+05    0.327304842532776E+05
    0.140400000000000E+06    0.556473970356646E+02   -0.367126745133261E+05    0.328994540041335E+05   -0.363799209134776E+05    0.328970270260775E+05
    0.144000000000000E+06    0.556386052991349E+02   -0.463128711208751E+05    0.330374536791908E+05   -0.457493094137247E+05    0.330374921101295E+05
    0.147600000000000E+06    0.556248012083844E+02   -0.541179528445503E+05    0.331564478208068E+05   -0.540779306333126E+05    0.331564474590568E+05
    0.151200000000000E+06    0.556135775329659E+02   -0.495764307583031E+05    0.332666050296491E+05   -0.495483091405203E+05    0.332666649374638E+05
    0.154800000000000E+06    0.556033095461649E+02   -0.490836963915662E+05    0.333741588142046E+05   -0.489451212954431E+05    0.333742193842637E+05
    0.158400000000000E+06    0.555931530535547E+02   -0.502706166061879E+05    0.334818004944990E+05   -0.500439489163112E+05    0.334818588371885E+05
    0.162000000000000E+06    0.555820350006763E+02   -0.523986105802544E+05    0.335906270304978E+05   -0.520227590938089E+05    0.335906823693514E+05
    0.165600000000000E+06    0.555717440412145E+02   -0.514816701512379E+05    0.337009255523105E+05   -0.512927365137304E+05    0.337009769567731E+05
    0.169200000000000E+06    0.555583911103842E+02   -0.561801617404716E+05    0.338134082821010E+05   -0.555207083443996E+05    0.338134572480206E+05
    0.172800000000000E+06    0.555403135499366E+02   -0.644335769578630E+05    0.339309820410607E+05   -0.642276656303412E+05    0.339309816900859E+05
    0.176400000000000E+06    0.555208276175755E+02   -0.661123219502348E+05    0.340573051845936E+05   -0.659725995637041E+05    0.340573049106807E+05
    0.180000000000000E+06    0.554990168082207E+02   -0.705430207166101E+05    0.341960260603720E+05   -0.704081857368322E+05    0.341960259426134E+05
    0.183600000000000E+06    0.554804296025582E+02   -0.645351962138751E+05    0.343483155915969E+05   -0.643304345834300E+05    0.343483301810986E+05
    0.187200000000000E+06    0.554648200337535E+02   -0.601378436099892E+05    0.345120321360053E+05   -0.596580372775310E+05    0.345102171055994E+05
