cumulated temperatures + heat flows
          time (s)             material     3       flow to boundary     1   flow to boundary     2  flow from boundary     1 flow from boundary     2
    0.000000000000000E+00    0.586300018175299E+02    0.646789749866895-306    0.000000000000000E+00    0.646789749866895-306    0.000000000000000E+00
    0.360000000000000E+04    0.582070348418472E+02   -0.714846857842050E+06    0.278181257878749E+02   -0.713841626033987E+06    0.278181024064239E+02
    0.720000000000000E+04    0.579738783626737E+02   -0.395088153581993E+06    0.426409233735808E+03   -0.394322270705531E+06    0.426414002492653E+03
    0.108000000000000E+05    0.577326821650390E+02   -0.408572083056745E+06    0.121499051535739E+04   -0.408149138808749E+06    0.121499225503686E+04
    0.144000000000000E+05    0.575218373619804E+02   -0.358520827700983E+06    0.238290871483668E+04   -0.357551135818787E+06    0.238291223578378E+04
    0.180000000000000E+05    0.573398148505399E+02   -0.311096846774953E+06    0.384804698747891E+04   -0.310558543139363E+06    0.384804871267745E+04
    0.216000000000000E+05    0.571454927084484E+02   -0.319259372296246E+06    0.495495251314593E+04   -0.321737083354764E+06    0.495491214426005E+04
    0.252000000000000E+05    0.569948908205571E+02   -0.244112947815161E+06    0.682981988738718E+04   -0.242190685545949E+06    0.682977203219710E+04
    0.288000000000000E+05    0.568745539540861E+02   -0.221537730881316E+06    0.869973052130590E+04   -0.222493352621454E+06    0.869973057224680E+04
    0.324000000000000E+05    0.567646540357369E+02   -0.196785007575617E+06    0.110316705890888E+05   -0.197744552113798E+06    0.110309523754838E+05
    0.360000000000000E+05    0.566662974002415E+02   -0.178446433352775E+06    0.128186233993854E+05   -0.179048536778858E+06    0.128186282616959E+05
    0.396000000000000E+05    0.565697505284649E+02   -0.137870093948254E+06    0.138986491225776E+05   -0.135888915820327E+06    0.138986491007927E+05
    0.432000000000000E+05    0.565037425387498E+02   -0.123122170577625E+06    0.157679627957014E+05   -0.123012697764685E+06    0.157679640043235E+05
    0.468000000000000E+05    0.564463979490434E+02   -0.106584564815013E+06    0.176072611342278E+05   -0.106466785858615E+06    0.176072599143069E+05
    0.504000000000000E+05    0.564099650624110E+02   -0.933485902330513E+05    0.189198942133916E+05   -0.944576767529015E+05    0.189198932105838E+05
    0.540000000000000E+05    0.563749120507663E+02   -0.847838823610237E+05    0.200909329239140E+05   -0.859326145075324E+05    0.200909314917684E+05
    0.576000000000000E+05    0.563350309895794E+02   -0.913793787266704E+05    0.211270806912413E+05   -0.921768154690079E+05    0.211264657265218E+05
    0.612000000000000E+05    0.562845383676868E+02   -0.110017743035579E+06    0.220473226561111E+05   -0.109278458276470E+06    0.220473234828558E+05
    0.648000000000000E+05    0.562226681014810E+02   -0.128950753424982E+06    0.228801977163064E+05   -0.127955711834784E+06    0.228801989257945E+05
    0.684000000000000E+05    0.561559771887122E+02   -0.137645753752564E+06    0.236561836843883E+05   -0.136926071280701E+06    0.236561846178426E+05
    0.720000000000000E+05    0.560839998818361E+02   -0.148006213439322E+06    0.244022601607402E+05   -0.147018496840709E+06    0.244022612203040E+05
    0.756000000000000E+05    0.560220493486827E+02   -0.131525784401882E+06    0.251350018317801E+05   -0.131222509589270E+06    0.251350080556378E+05
    0.792000000000000E+05    0.559610841851435E+02   -0.130778341357585E+06    0.258608324396913E+05   -0.129600250677418E+06    0.258608395473223E+05
    0.828000000000000E+05    0.559153447637736E+02   -0.103897929870672E+06    0.265762559578776E+05   -0.104453021665321E+06    0.265762613576282E+05
    0.864000000000000E+05    0.558806608785094E+02   -0.855245616188915E+05    0.272695104385482E+05   -0.860169872477718E+05    0.272695100181609E+05
