       time step start          time step length       avg time step length      required iterations
    0.000000000000000E+00    0.100000000000000E-03    0.352800000200000E+04              1
    0.100000000000000E-03    0.200000000000000E-03    0.345600000600000E+04              2
    0.300000000000000E-03    0.400000000000000E-03    0.338400001400000E+04              2
    0.700000000000000E-03    0.800000000000000E-03    0.331200003000000E+04              2
    0.150000000000000E-02    0.160000000000000E-02    0.324000006200000E+04              2
    0.310000000000000E-02    0.320000000000000E-02    0.316800012600000E+04              2
    0.630000000000000E-02    0.640000000000000E-02    0.309600025400000E+04              2
    0.127000000000000E-01    0.128000000000000E-01    0.302400051000000E+04              2
    0.255000000000000E-01    0.256000000000000E-01    0.295200102200000E+04              2
    0.511000000000000E-01    0.512000000000000E-01    0.288000204600000E+04              3
    0.102300000000000E+00    0.102400000000000E+00    0.280800409400000E+04              3
    0.204700000000000E+00    0.204800000000000E+00    0.273600819000000E+04              3
    0.409500000000000E+00    0.409600000000000E+00    0.266401638200000E+04              3
    0.819100000000000E+00    0.819200000000000E+00    0.259203276600000E+04              3
    0.163830000000000E+01    0.163840000000000E+01    0.252006553400000E+04              4
    0.327670000000000E+01    0.327680000000000E+01    0.244813107000000E+04              4
    0.655350000000000E+01    0.655360000000000E+01    0.237626214200000E+04              4
    0.131071000000000E+02    0.131072000000000E+02    0.230452428600000E+04              4
    0.262143000000000E+02    0.262144000000000E+02    0.223304857400000E+04              5
    0.524287000000000E+02    0.524288000000000E+02    0.216209715000000E+04              5
    0.104857500000000E+03    0.104857600000000E+03    0.209219430200000E+04              5
    0.209715100000000E+03    0.209715200000000E+03    0.202438860600000E+04              6
    0.419430300000000E+03    0.419430400000000E+03    0.196077721400000E+04              6
    0.838860700000000E+03    0.838860800000000E+03    0.190555443000000E+04              7
    0.167772150000000E+04    0.192227850000000E+04    0.360000000000000E+04              8
    0.360000000000000E+04    0.360000000000000E+04    0.360000000000000E+04              6
    0.720000000000000E+04    0.360000000000000E+04    0.360000000000000E+04              8
    0.108000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              8
    0.144000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              8
    0.180000000000000E+05    0.900000000000000E+03    0.354600000000000E+04             12
    0.189000000000000E+05    0.900000000000000E+03    0.349200000000000E+04             11
    0.198000000000000E+05    0.180000000000000E+04    0.360000000000000E+04             14
    0.216000000000000E+05    0.192857142857143E+04    0.356657142857143E+04             17
    0.235285714285714E+05    0.167142857142857E+04    0.360000000000000E+04             13
    0.252000000000000E+05    0.192857142857143E+04    0.356657142857143E+04              9
    0.271285714285714E+05    0.167142857142857E+04    0.360000000000000E+04              7
    0.288000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              7
    0.324000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              6
    0.360000000000000E+05    0.562500000000000E+02    0.352912500000000E+04              8
    0.360562500000000E+05    0.562500000000000E+02    0.345825000000000E+04              6
    0.361125000000000E+05    0.112500000000000E+03    0.338850000000000E+04              7
    0.362250000000000E+05    0.225000000000000E+03    0.332100000000000E+04              9
    0.364500000000000E+05    0.375000000000000E+03    0.325650000000000E+04             10
    0.368250000000000E+05    0.562500000000000E+03    0.319575000000000E+04             10
    0.373875000000000E+05    0.843750000000000E+03    0.314062500000000E+04             11
    0.382312500000000E+05    0.136875000000000E+04    0.360000000000000E+04             13
    0.396000000000000E+05    0.157932692307692E+04    0.355958653846154E+04             12
    0.411793269230769E+05    0.202067307692308E+04    0.360000000000000E+04             11
    0.432000000000000E+05    0.360000000000000E+04    0.360000000000000E+04             13
    0.468000000000000E+05    0.360000000000000E+04    0.360000000000000E+04             10
    0.504000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              9
    0.540000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              7
    0.576000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              8
    0.612000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              7
    0.648000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              7
    0.684000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              7
    0.720000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              6
    0.756000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              7
    0.792000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              6
    0.828000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              7
    0.864000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              7
    0.900000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              6
    0.936000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              5
    0.972000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              6
    0.100800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.104400000000000E+06    0.360000000000000E+04    0.360000000000000E+04             11
    0.108000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.111600000000000E+06    0.225000000000000E+03    0.353250000000000E+04              8
    0.111825000000000E+06    0.225000000000000E+03    0.346500000000000E+04              7
    0.112050000000000E+06    0.450000000000000E+03    0.340200000000000E+04              8
    0.112500000000000E+06    0.843750000000000E+03    0.334687500000000E+04             10
    0.113343750000000E+06    0.185625000000000E+04    0.360000000000000E+04             14
    0.115200000000000E+06    0.198883928571429E+04    0.356777678571429E+04             11
    0.117188839285714E+06    0.161116071428571E+04    0.360000000000000E+04             10
    0.118800000000000E+06    0.360000000000000E+04    0.360000000000000E+04             14
    0.122400000000000E+06    0.360000000000000E+04    0.360000000000000E+04             10
    0.126000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              9
    0.129600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.133200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.136800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.140400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.144000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.147600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.151200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
