cumulated temperatures + heat flows
          time (s)             material     1           material     2       flow to boundary     1   flow to boundary     2  flow from boundary     1 flow from boundary     2
    0.000000000000000E+00    0.283150008777650E+02    0.141575004388825E+02    0.877422277713151-302    0.000000000000000E+00    0.877422277713151-302    0.000000000000000E+00
    0.360000000000000E+04    0.280651290677634E+02    0.142188178843650E+02   -0.727395369796051E+06    0.155682162710238E+05   -0.728062175856086E+06    0.155685823941953E+05
    0.720000000000000E+04    0.278884776420967E+02    0.141673768990439E+02   -0.504936803038296E+06    0.158665637565858E+05   -0.504853907313782E+06    0.158660708721845E+05
    0.108000000000000E+05    0.277464051396611E+02    0.141120520024259E+02   -0.405354585602699E+06    0.176553694146753E+05   -0.404504501342171E+06    0.176437277602154E+05
    0.144000000000000E+05    0.276258633673652E+02    0.140616014430158E+02   -0.344345571159728E+06    0.189756423761017E+05   -0.339557983437208E+06    0.189711492826803E+05
    0.180000000000000E+05    0.275291150645973E+02    0.140200719277792E+02   -0.275728458998343E+06    0.205260216257764E+05   -0.274141744059614E+06    0.205225979207859E+05
    0.216000000000000E+05    0.274540912496137E+02    0.139878927464338E+02   -0.214959538467553E+06    0.220182050782815E+05   -0.213081262449564E+06    0.220127712992783E+05
    0.252000000000000E+05    0.273918177828646E+02    0.139613972268663E+02   -0.180707371894224E+06    0.229577553383838E+05   -0.180065022872641E+06    0.229531712215889E+05
    0.288000000000000E+05    0.273401235138716E+02    0.139394938221529E+02   -0.151845503150083E+06    0.237392255207638E+05   -0.151471507025308E+06    0.237359205687331E+05
    0.324000000000000E+05    0.272976441809405E+02    0.139214554451315E+02   -0.126300817411287E+06    0.243879015772988E+05   -0.126075219128257E+06    0.243853935660989E+05
    0.360000000000000E+05    0.272623566440423E+02    0.139065372232754E+02   -0.106948002820125E+06    0.249239150912984E+05   -0.106789756432733E+06    0.249219796949616E+05
    0.396000000000000E+05    0.272327058406013E+02    0.138940869865141E+02   -0.928044477325791E+05    0.253680725909610E+05   -0.926818136137364E+05    0.253665496889238E+05
    0.432000000000000E+05    0.272312851458238E+02    0.138888334081673E+02   -0.250543411291505E+05    0.255990056540440E+05   -0.251807124922271E+05    0.255983508833324E+05
    0.468000000000000E+05    0.272545538784022E+02    0.138922423475320E+02    0.332989610139605E+05    0.255489489855971E+05    0.329744451895076E+05    0.255491335360730E+05
    0.504000000000000E+05    0.272681152548674E+02    0.138971228741733E+02    0.108947243755865E+05    0.254102758644437E+05    0.108072812353081E+05    0.254106162416909E+05
    0.540000000000000E+05    0.272623103114208E+02    0.138978524529970E+02   -0.362085404632104E+05    0.253606397315711E+05   -0.361069367027159E+05    0.253606753915485E+05
    0.576000000000000E+05    0.272348198901278E+02    0.138918284409640E+02   -0.855964755231635E+05    0.255298249953384E+05   -0.853825195549059E+05    0.255292276953485E+05
    0.612000000000000E+05    0.272139699132474E+02    0.138843763378634E+02   -0.680442881365250E+05    0.257786587620840E+05   -0.679600181683807E+05    0.257780184863780E+05
    0.648000000000000E+05    0.271964560372355E+02    0.138774080097476E+02   -0.595093713033629E+05    0.260224463835723E+05   -0.594425620635701E+05    0.260217598679025E+05
    0.684000000000000E+05    0.271778147903793E+02    0.138704790552306E+02   -0.628667077939557E+05    0.262580302246297E+05   -0.627727834929985E+05    0.262573201931923E+05
    0.720000000000000E+05    0.271633465380339E+02    0.138644820130291E+02   -0.516493319576968E+05    0.264789966847176E+05   -0.506010334327127E+05    0.264664670113342E+05
    0.756000000000000E+05    0.271500791041096E+02    0.138591612252223E+02   -0.489388985220544E+05    0.266644541418046E+05   -0.488801513209350E+05    0.266639211183964E+05
    0.792000000000000E+05    0.271389087942520E+02    0.138545735844452E+02   -0.439160061987966E+05    0.268317081965600E+05   -0.429710631347173E+05    0.268222097562045E+05
    0.828000000000000E+05    0.271293759771768E+02    0.138506482961631E+02   -0.399319833555519E+05    0.269749214977483E+05   -0.390751062885690E+05    0.269667170350356E+05
    0.864000000000000E+05    0.271217244108062E+02    0.138474072121561E+02   -0.344606125647424E+05    0.270969801154037E+05   -0.337954718460827E+05    0.270900445782385E+05
