       time step start          time step length       avg time step length      required iterations
    0.000000000000000E+00    0.100000000000000E+02    0.352820000000000E+04              4
    0.100000000000000E+02    0.200000000000000E+02    0.345660000000000E+04              4
    0.300000000000000E+02    0.400000000000000E+02    0.338540000000000E+04              5
    0.700000000000000E+02    0.800000000000000E+02    0.331500000000000E+04              6
    0.150000000000000E+03    0.160000000000000E+03    0.324620000000000E+04              6
    0.310000000000000E+03    0.320000000000000E+03    0.318060000000000E+04              7
    0.630000000000000E+03    0.640000000000000E+03    0.312140000000000E+04              8
    0.127000000000000E+04    0.120000000000000E+04    0.307340000000000E+04              9
    0.247000000000000E+04    0.113000000000000E+04    0.360000000000000E+04              9
    0.360000000000000E+04    0.188333333333333E+04    0.356566666666667E+04              9
    0.548333333333333E+04    0.171666666666667E+04    0.360000000000000E+04              9
    0.720000000000000E+04    0.360000000000000E+04    0.360000000000000E+04             10
    0.108000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              9
    0.144000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              8
    0.180000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              8
    0.216000000000000E+05    0.112500000000000E+03    0.353025000000000E+04             16
    0.217125000000000E+05    0.112500000000000E+03    0.346050000000000E+04             11
    0.218250000000000E+05    0.153409090909091E+03    0.339156818181818E+04             12
    0.219784090909091E+05    0.191761363636364E+03    0.332340340909091E+04             15
    0.221701704545455E+05    0.191761363636364E+03    0.325523863636364E+04             13
    0.223619318181818E+05    0.221263111888112E+03    0.318766389860140E+04             14
    0.225831949300699E+05    0.237067619880120E+03    0.312040525099900E+04             13
    0.228202625499501E+05    0.273539561400138E+03    0.305387604222700E+04             14
    0.230938021113502E+05    0.293078101500148E+03    0.298773760425701E+04             13
    0.233868802128503E+05    0.338167040192479E+03    0.292250094506086E+04             14
    0.237250472530428E+05    0.362321828777656E+03    0.285774738163641E+04             13
    0.240873690818205E+05    0.418063648589603E+03    0.279410865460820E+04             14
    0.245054327304101E+05    0.447925337774574E+03    0.273106716136369E+04             13
    0.249533580681846E+05    0.246641931815353E+03    0.360000000000000E+04              9
    0.252000000000000E+05    0.411069886358922E+03    0.353622139772718E+04             12
    0.256110698863589E+05    0.513837357948652E+03    0.347449814488615E+04             13
    0.261249072443076E+05    0.592889259171522E+03    0.341435593006958E+04             13
    0.267177965034791E+05    0.684102991351756E+03    0.335603798989662E+04             13
    0.274018994948309E+05    0.789349605405872E+03    0.329982498200473E+04             14
    0.281912491002367E+05    0.608750899763279E+03    0.360000000000000E+04             11
    0.288000000000000E+05    0.830114863313563E+03    0.354460229726627E+04             13
    0.296301148633136E+05    0.957824842284880E+03    0.349175879411197E+04             13
    0.305879397055984E+05    0.110518251032871E+04    0.344186244431854E+04             13
    0.316931222159272E+05    0.706877784072847E+03    0.360000000000000E+04              9
    0.324000000000000E+05    0.117812964012141E+04    0.355156259280243E+04             12
    0.335781296401214E+05    0.147266205015177E+04    0.350901583380546E+04             13
    0.350507916902732E+05    0.949208309726819E+03    0.360000000000000E+04             10
    0.360000000000000E+05    0.142381246459023E+04    0.355647624929180E+04             12
    0.374238124645902E+05    0.217618753540977E+04    0.360000000000000E+04             14
    0.396000000000000E+05    0.233162950222476E+04    0.357463259004450E+04             14
    0.419316295022248E+05    0.126837049777524E+04    0.360000000000000E+04             11
    0.432000000000000E+05    0.172959613332988E+04    0.356259192266660E+04             14
    0.449295961333299E+05    0.187040386667012E+04    0.360000000000000E+04             15
    0.468000000000000E+05    0.187040386667012E+04    0.356540807733340E+04             17
    0.486704038666701E+05    0.172959613332988E+04    0.360000000000000E+04             15
    0.504000000000000E+05    0.172959613332988E+04    0.356259192266660E+04             16
    0.521295961333299E+05    0.187040386667012E+04    0.360000000000000E+04             18
    0.540000000000000E+05    0.155866988889177E+04    0.355917339777784E+04             13
    0.555586698888918E+05    0.204133011110823E+04    0.360000000000000E+04             19
    0.576000000000000E+05    0.161157640350650E+04    0.356023152807013E+04             12
    0.592115764035065E+05    0.198842359649350E+04    0.360000000000000E+04             15
    0.612000000000000E+05    0.198842359649350E+04    0.356776847192987E+04             14
    0.631884235964935E+05    0.161157640350650E+04    0.360000000000000E+04             10
    0.648000000000000E+05    0.360000000000000E+04    0.360000000000000E+04             30
    0.684000000000000E+05    0.180000000000000E+04    0.356400000000000E+04             10
    0.702000000000000E+05    0.180000000000000E+04    0.360000000000000E+04             10
    0.720000000000000E+05    0.360000000000000E+04    0.360000000000000E+04             15
    0.756000000000000E+05    0.360000000000000E+04    0.360000000000000E+04             14
    0.792000000000000E+05    0.360000000000000E+04    0.360000000000000E+04             13
    0.828000000000000E+05    0.360000000000000E+04    0.360000000000000E+04             10
    0.864000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              9
    0.900000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              9
    0.936000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              8
    0.972000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              8
    0.100800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.104400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.108000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.111600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.115200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.118800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.122400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.126000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.129600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.133200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.136800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.140400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.144000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.147600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.151200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.154800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.158400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.162000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.165600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.169200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.172800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.176400000000000E+06    0.351562500000000E+01    0.352807031250000E+04              7
    0.176403515625000E+06    0.351562500000000E+01    0.345614062500000E+04              5
    0.176407031250000E+06    0.703125000000000E+01    0.338428125000000E+04              6
    0.176414062500000E+06    0.140625000000000E+02    0.331256250000000E+04             13
    0.176428125000000E+06    0.162259615384615E+02    0.324088701923077E+04             16
    0.176444350961538E+06    0.760591947115384E+01    0.316903913762019E+04              6
    0.176451956881010E+06    0.190147986778846E+01    0.309707716721755E+04              3
    0.176453858360877E+06    0.475369966947115E+00    0.302508667461689E+04              2
    0.176454333730844E+06    0.237684983473558E+00    0.295309142831656E+04              2
    0.176454571415828E+06    0.297106229341947E-01    0.288109202252902E+04              2
    0.176454601126451E+06    0.148553114670974E-01    0.280909231963524E+04              2
    0.176454615981762E+06    0.148553114670974E-01    0.273709261674147E+04              2
    0.176454630837074E+06    0.148553114670974E-01    0.266509291384770E+04              2
    0.176454645692385E+06    0.148553114670974E-01    0.259309321095393E+04              2
    0.176454660547697E+06    0.148553114670974E-01    0.252109350806016E+04              2
    0.176454675403008E+06    0.148553114670974E-01    0.244909380516639E+04              2
    0.176454690258319E+06    0.148553114670974E-01    0.237709410227262E+04              2
    0.176454705113631E+06    0.148553114670974E-01    0.230509439937885E+04              2
    0.176454719968942E+06    0.148553114670974E-01    0.223309469648508E+04              2
    0.176454734824254E+06    0.148553114670974E-01    0.216109499359131E+04              2
    0.176454749679565E+06    0.297106229341947E-01    0.208909558780377E+04              3
    0.176454779390188E+06    0.594212458683894E-01    0.201709677622869E+04              2
    0.176454838811434E+06    0.118842491736779E+00    0.194509915307852E+04              2
    0.176454957653926E+06    0.237684983473558E+00    0.187310390677819E+04              2
    0.176455195338909E+06    0.475369966947115E+00    0.180111341417753E+04              2
    0.176455670708876E+06    0.950739933894231E+00    0.172913242897621E+04              3
    0.176456621448810E+06    0.190147986778846E+01    0.165717045857356E+04              4
    0.176458522928678E+06    0.380295973557692E+01    0.158524651776827E+04              5
    0.176462325888414E+06    0.760591947115384E+01    0.151339863615770E+04             11
    0.176469931807885E+06    0.518585418487762E+01    0.144150235324139E+04              7
    0.176475117662070E+06    0.518585418487762E+01    0.136960607032509E+04              8
    0.176480303516254E+06    0.972347659664554E+01    0.129780053985702E+04             25
    0.176490026992851E+06    0.583408595798732E+01    0.122591722157618E+04              9
    0.176495861078809E+06    0.972347659664554E+01    0.115411169110812E+04             21
    0.176505584555406E+06    0.694534042617538E+01    0.108225059791664E+04             10
    0.176512529895832E+06    0.104180106392631E+02    0.101045895812943E+04             19
    0.176522947906471E+06    0.822474524152348E+01    0.938623453034256E+03             10
    0.176531172651713E+06    0.123371178622852E+02    0.866870195391502E+03             18
    0.176543509769575E+06    0.102809315519044E+02    0.795075814022540E+03             10
    0.176553790701127E+06    0.154213973278565E+02    0.723384241969097E+03             16
    0.176569212098455E+06    0.144575599948655E+02    0.651673393168994E+03             11
    0.176583669658450E+06    0.197148545384530E+02    0.580067690259763E+03             12
    0.176603384512988E+06    0.246435681730662E+02    0.508560561623224E+03             11
    0.176628028081161E+06    0.336048656905448E+02    0.437232658937035E+03              9
    0.176661632946852E+06    0.560081094842413E+02    0.366352821126720E+03              8
    0.176717641056336E+06    0.105015205282952E+03    0.296453125232379E+03              8
    0.176822656261619E+06    0.196903509905536E+03    0.228391195430490E+03             11
