       time step start          time step length       avg time step length      required iterations
    0.000000000000000E+00    0.100000000000000E+02    0.352820000000000E+04              5
    0.100000000000000E+02    0.200000000000000E+02    0.345660000000000E+04              4
    0.300000000000000E+02    0.400000000000000E+02    0.338540000000000E+04              5
    0.700000000000000E+02    0.800000000000000E+02    0.331500000000000E+04              5
    0.150000000000000E+03    0.160000000000000E+03    0.324620000000000E+04              6
    0.310000000000000E+03    0.320000000000000E+03    0.318060000000000E+04              6
    0.630000000000000E+03    0.640000000000000E+03    0.312140000000000E+04              7
    0.127000000000000E+04    0.128000000000000E+04    0.307500000000000E+04              7
    0.255000000000000E+04    0.105000000000000E+04    0.360000000000000E+04              7
    0.360000000000000E+04    0.210000000000000E+04    0.357000000000000E+04              6
    0.570000000000000E+04    0.150000000000000E+04    0.360000000000000E+04              6
    0.720000000000000E+04    0.360000000000000E+04    0.360000000000000E+04              8
    0.108000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              7
    0.144000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              8
    0.180000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              8
    0.216000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              7
    0.252000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              7
    0.288000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              8
    0.324000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              8
    0.360000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              8
    0.396000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              9
    0.432000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              8
    0.468000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              7
    0.504000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              6
    0.540000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              5
    0.576000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              8
    0.612000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              8
    0.648000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              8
    0.684000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              8
    0.720000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              5
    0.756000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              7
    0.792000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              6
    0.828000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              6
    0.864000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              7
    0.900000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              5
    0.936000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              4
    0.972000000000000E+05    0.360000000000000E+04    0.360000000000000E+04              5
    0.100800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.104400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.108000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.111600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              9
    0.115200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.118800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.122400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.126000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.129600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.133200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.136800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.140400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.144000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.147600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.151200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.154800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.158400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.162000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.165600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.169200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.172800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.176400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.180000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.183600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.187200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.190800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.194400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.198000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.201600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              4
    0.205200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.208800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.212400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.216000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.219600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.223200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.226800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.230400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.234000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.237600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.241200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.244800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.248400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.252000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.255600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.259200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.262800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.266400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.270000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.273600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.277200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.280800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.284400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.288000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.291600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.295200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.298800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.302400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.306000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.309600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.313200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.316800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.320400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.324000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.327600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.331200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.334800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.338400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.342000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              9
    0.345600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.349200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              9
    0.352800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.356400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              9
    0.360000000000000E+06    0.360000000000000E+04    0.360000000000000E+04             10
    0.363600000000000E+06    0.360000000000000E+04    0.360000000000000E+04             11
    0.367200000000000E+06    0.360000000000000E+04    0.360000000000000E+04             11
    0.370800000000000E+06    0.360000000000000E+04    0.360000000000000E+04             10
    0.374400000000000E+06    0.360000000000000E+04    0.360000000000000E+04             11
    0.378000000000000E+06    0.360000000000000E+04    0.360000000000000E+04             10
    0.381600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              9
    0.385200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.388800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.392400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.396000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.399600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.403200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.406800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.410400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.414000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.417600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.421200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.424800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.428400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.432000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.435600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.439200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.442800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.446400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.450000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.453600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.457200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.460800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              8
    0.464400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              5
    0.468000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.471600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.475200000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
    0.478800000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.482400000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.486000000000000E+06    0.360000000000000E+04    0.360000000000000E+04              6
    0.489600000000000E+06    0.360000000000000E+04    0.360000000000000E+04              7
